gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Gm42417,2.8296547,1.0,0.1483065,2.8296547,0.42619606340871724,1.1918117,2.8296547,0.6550044729484061,1.0865927,0.00028497676
Ankrd39,0.40426832,0.07120748287818639,2.4719243,0.40426832,0.04817511235931923,2.4980137,0.40426832,0.2451579149135687,1.8974789,0.00822647
Sema4c,0.6251876,1.0,0.31360614,0.6251876,0.49289021214161516,1.0553566,0.6251876,0.7656299624691889,0.8503656,-0.0021474757
Fam178b,,,,,,,,,,
Cox5b,0.35210654,0.06190535516576288,2.5327737,0.35210654,2.2130361043201637e-15,8.52367,0.35210654,1.961395875530838e-05,4.985136,0.021802869
Actr1b,0.0016275675,1.0,0.7162345,0.0016275675,1.0,0.011202132,0.0016275675,1.0,0.008136318,-0.018955274
4933424G06Rik,-19.488928,1.0,-0.038234524,-19.488928,0.25321267672216513,-1.600226,-19.488928,0.8490363397227064,-0.6364954,-0.00017088899
Zap70,0.17236795,0.37618641838279937,1.5963632,0.17236795,0.04800367653217698,2.4987123,0.17236795,0.30241298339736944,1.7651738,0.0026713389
Tmem131,0.13460997,0.49903910331878026,1.3927013,0.13460997,0.6374970030571976,0.7306141,0.13460997,0.8759097512768367,0.5338786,0.006529222
Vwa3b,-0.8230732,1.0,0.023573166,-0.8230732,0.49289021214161516,-1.0607259,-0.8230732,0.8555800647818186,-0.61895305,-0.0010657371
Cnga3,,,,,,,,,,
Inpp4a,0.3737349,0.21781760753740587,1.9243752,0.3737349,0.122519422301772,2.0491345,0.3737349,0.4074405879054691,1.5515459,0.006563363
Coa5,0.14271079,0.15212754729558978,2.1190615,0.14271079,0.3933603306592179,1.26106,0.14271079,0.7388089734778647,0.9122801,-0.01178306
Unc50,-0.13211574,1.0,-0.07662876,-0.13211574,0.34807587185944133,-1.3635619,-0.13211574,0.7173001768017967,-0.95608324,-0.020024339
Mgat4a,-1.8472812,0.2813837449504207,-1.7768353,-1.8472812,1.935275031167514e-10,-6.8894525,-1.8472812,0.0025820627020444404,-3.7423596,-0.013609997
2010300C02Rik,0.60772127,1.0,0.45309666,0.60772127,0.3574027936358933,1.3416607,0.60772127,0.6666457992203862,1.0668037,0.007144768
Tsga10,-0.44610116,1.0,-0.41735363,-0.44610116,0.49289021214161516,-1.0286952,-0.44610116,0.8232697366910994,-0.7190343,-0.0026140884
Lipt1,0.81167585,0.9844268097075505,0.74696267,0.81167585,0.22798195481555,1.6755767,0.81167585,0.531803854937393,1.3127719,0.0020678083
Mitd1,0.39032614,0.0004811656178414956,4.1064262,0.39032614,0.0012187741837385638,3.7672367,0.39032614,0.03636341065987822,2.8230093,-0.002853192
Mrpl30,0.25151154,0.028935136070764787,2.841237,0.25151154,0.00035584996310854093,4.1012936,0.25151154,0.03233286432957933,2.870253,-0.004861252
Lyg2,,,,,,,,,,
Lyg1,,,,,,,,,,
Txndc9,0.28292656,0.011557861917748512,3.1689615,0.28292656,0.0022698370874691446,3.5810788,0.28292656,0.0599405313410835,2.6088314,0.031370066
Eif5b,0.206554,0.14928463255851257,2.128612,0.206554,0.02836048257972351,2.7168388,0.206554,0.2032196862506307,2.0097716,-0.036669794
Rev1,-0.101495974,1.0,0.507941,-0.101495974,0.8144461111725966,-0.42590037,-0.101495974,0.9238035452368802,-0.30175546,0.006521814
Aff3,1.7517538,9.877798260804501e-17,8.811764,1.7517538,1.7015506379640762e-16,9.026077,1.7517538,1.651759139193353e-11,7.4804864,0.043441247
Lonrf2,,,,,,,,,,
Chst10,-0.41374925,1.0,-0.05008499,-0.41374925,0.333815562380756,-1.4020811,-0.41374925,0.7292365794680018,-0.9335949,0.009154063
Nms,,,,,,,,,,
Pdcl3,0.30993655,0.00424247001696688,3.4941308,0.30993655,0.0014629720085191384,3.7123535,0.30993655,0.053007781975032774,2.664632,0.06824158
Npas2,,,,,,,,,,
Rpl31,0.21922733,9.61299796945722e-08,5.9098372,0.21922733,1.5991195255235155e-12,7.6603003,0.21922733,3.069823394051579e-05,4.8781557,0.023147251
Tbc1d8,0.21542005,1.0,0.042355035,0.21542005,0.9894793073194227,0.11576345,0.21542005,1.0,0.071643256,-0.0024140694
Cnot11,0.06425633,0.6426364938424844,1.1861327,0.06425633,0.7625714319339109,0.5173761,0.06425633,0.8895892351142085,0.37950653,0.010674614
