All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
S1pr1,0.2642348759862609,Cd53,0.2516659400349978,Zfp36l1,0.30721430983814507,,Mybl1,Timeless,Atad2,2.0926711559295654,2.169471025466919,2.1268036365509033,1.754514217376709,1.2336081266403198,1.5282392501831055,0.03477575208522881,-0.017165999859571457,-0.006969611781331287
Klrk1,0.2626181152533913,Tcf7,0.2479298391245643,Tox2,0.30301991770055386,,Cd46,Cxcr5,Klra9,0.005747088231146336,0.0012415016535669565,0.003681050380691886,0.00046083619236014783,0.0,0.0002589120122138411,0.005915152662747842,0.0,0.014004276638949258
Ifngr1,0.2625549246989705,Sema7a,0.2466205021853479,Tsc22d3,0.3024625241603523,,Lag3,Cd96,Itga4,5.554294586181641,6.055634498596191,5.7823405265808105,7.597483158111572,8.979045867919922,8.169220924377441,0.014449221027851114,-2.919651985168457,
E2f8,0.26176057241341477,Tardbp,0.24440893959164237,Tgif1,0.3015801213854674,,Notch1,Nsd2,Fosb,0.8306374549865723,0.7440690398216248,0.7932242751121521,0.32037726044654846,0.30055710673332214,0.31299111247062683,0.08362101362746455,0.03628044202923775,0.09551757235811038
Pdcd1,0.260983471484011,Ddx5,0.2426110910862515,Il10ra,0.29843023352184866,,Skil,Atad2,Brca1,0.4385468363761902,0.5072998404502869,0.46699124574661255,1.166373610496521,1.1503310203552246,1.1556875705718994,0.071755035093259,0.1664503514766693,0.04751930445078037
Nsd2,0.2585653472766921,Itga1,0.23736719693976485,Il23r,0.29819055186282317,,Mybl2,Rfc1,Cd40lg,0.024819837883114815,0.07693549990653992,0.046991799026727676,0.03936193883419037,0.08350339531898499,0.05716083198785782,,-0.041879281401634216,-0.0010942241729680101
Ikzf2,0.25693907955216533,Havcr2,0.23600244055174716,Runx3,0.29561367849638226,,Dnmt3a,Nt5e,Chaf1b,0.9205967783927917,0.8060235977172852,0.8725365996360779,0.08535353094339371,0.09561420232057571,0.09020853787660599,,-0.010213618166744709,
Atf7ip,0.25605585814918325,Il2ra,0.2308830809424542,Cd96,0.29343561718929223,,Zfp382,Fosb,Maf,0.06466390192508698,0.1202356293797493,0.08700203150510788,0.016298549249768257,0.03043833188712597,0.022410564124584198,,0.016499551013112068,0.02844511793077623
Ccr6,0.25570975628474074,Ly6e,0.22845343346726377,Mybl2,0.2929237629281908,,Kdm6b,H2-Eb1,Tnfrsf4,0.04421341046690941,0.1183227077126503,0.07487139105796814,0.0045255087316036224,0.01620953157544136,0.009430155158042908,,0.0030545222107321024,0.02000224492416513
Cd83,0.25569294604028797,Btg1,0.22827908081946166,Tgif2,0.29117035155513443,,Id3,Sfmbt1,Mcm3,3.159391164779663,2.8066341876983643,3.0068256855010986,0.3691599369049072,0.3096277713775635,0.3410007059574127,0.2602590714568481,0.054378360509872437,0.3005655255396979
Lag3,0.2547755107895353,Myc,0.22786213566363403,Eif5b,0.2911374637241838,,Tnfrsf25,Eed,Klrk1,1.914183259010315,1.5341992378234863,1.7476142644882202,0.8015788793563843,0.5135700106620789,0.6783524751663208,-0.06474805643107126,0.06215410679578781,-0.06463793960238262
Aff3,0.25390989916299445,Suz12,0.22609297500201175,Cd74,0.2904028744606369,,Rnf20,,Klrd1,2.7561206817626953,2.1572694778442383,2.4940695762634277,0.2271317094564438,0.136812224984169,0.19145627319812775,-0.15802232192420482,-0.0072496491484344006,-0.07178821915986885
Il23r,0.24759802865440045,Prdm1,0.22527306239638667,Suz12,0.2897304754351559,,Chd7,,Klf3,0.6312110424041748,0.44365936517715454,0.5545206665992737,0.4809744656085968,0.27324551343917847,0.3906099498271942,0.07577071379784742,0.08994629979133606,0.05755949495920154
Itga1,0.24742606808132606,Zfp36l1,0.2215413735384744,Maf,0.2890170113978948,,Itgb3,,Lag3,0.4123240113258362,1.5972684621810913,0.9088942408561707,0.03095131367444992,0.09432242810726166,0.058576878160238266,,0.003328647930175066,0.19170745738852404
Itgal,0.2467635159756899,Slamf6,0.2204137881109127,Foxn3,0.2877174211930178,,Elf2,,Irf4,0.3345208168029785,0.3153732120990753,0.32565489411354065,1.1469321250915527,0.6268994808197021,0.9208375811576843,0.02195024041253021,-0.18929092586040497,0.008488920223137625
Maf,0.2423131957224656,Ccr7,0.2200376679834722,Sp4,0.286983069288062,,Il1rl1,,Ighd,0.009910010732710361,0.016922293230891228,0.012417422607541084,0.006502959877252579,0.007429708261042833,0.007093521300703287,0.003026385680786422,0.00449489476159215,0.009641153051992733
Polr2f,0.24155747309603545,Itgal,0.21975652131269183,Mcm8,0.28662750714943147,,Dnmt3b,,Satb1,1.0504695177078247,0.897197961807251,0.9824183583259583,3.7975869178771973,3.024604558944702,3.446408271789551,0.010684402298627087,0.5719214677810669,0.02665544329672182
Brca2,0.23981354303604005,Cd5,0.21894129046812413,Cd84,0.28528196658596855,,Pou6f1,,Kdm6b,0.4354307949542999,0.5904212594032288,0.5004217624664307,0.57575523853302,0.5711357593536377,0.5713576674461365,,0.15419279038906097,
Vax2,0.23926378645204952,Ighm,0.21847053947042003,Wdhd1,0.2840654833174423,,Tgif2,,Cd5,1.2635295391082764,1.5026168823242188,1.3609721660614014,1.5773478746414185,1.4851830005645752,1.5394055843353271,0.008423235412288453,-0.02136795036494732,
Arntl,0.23696958276863161,Cenpk,0.2171340649168941,Ly86,0.2836726340859663,,Rbl1,,Cd8b1,11.998642921447754,8.584484100341797,10.50992488861084,0.6845179796218872,0.4114459156990051,0.5677376389503479,,-0.14576537907123566,-0.7167804081699174
Slamf6,0.2358900571839956,Lef1,0.21532392347635088,Sfmbt1,0.2829177871173559,,Sp4,,Rnf20,0.46929505467414856,0.4593769311904907,0.46353545784950256,0.3661922216415405,0.3369224965572357,0.35389864444732666,,-0.038729943335056305,
Klf3,0.23471369451623939,Itga4,0.21427278471619965,Deaf1,0.2816457216745021,,Khdrbs1,,Ebf1,0.00949096493422985,0.007878194563090801,0.00829310342669487,0.02071690745651722,0.022365031763911247,0.021018769592046738,0.007907586539309393,-0.010522217489778996,0.001258812725658398
Cd40lg,0.23038478663901366,Batf,0.2129583134071603,Nsd2,0.27977554686969464,,Stat4,,Chd7,0.8802816271781921,0.7713414430618286,0.8306313157081604,5.074880599975586,3.5893008708953857,4.443081855773926,,-0.19549423456192017,
Irf4,0.2301182684700955,Dek,0.21173295496782119,Cenpk,0.27953552523220293,,Ahr,,Itgb3,0.10080559551715851,0.15374261140823364,0.12390638142824173,0.1421547830104828,0.21222665905952454,0.17179779708385468,,0.0178813599050045,
Setbp1,0.2299497907018657,Phf20l1,0.2112366446378979,Klrk1,0.2764468010728938,,Tfdp2,,Elf2,0.5287781953811646,0.5345576405525208,0.5315577983856201,0.6497650742530823,0.6320846676826477,0.6379019021987915,,0.03489135578274727,
Suz12,0.228929340844289,Satb1,0.2065741317956235,Tlr1,0.2751234465544583,,Tnfrsf9,,Il1rl1,0.03463680297136307,0.20312514901161194,0.10528448224067688,0.025241229683160782,0.15080223977565765,0.07839041203260422,,0.07083453238010406,0.03582765794840996
Foxn3,0.2288973309286809,Trp73,0.2054896309136604,E2f2,0.27126185803665087,,Vax2,,Il18r1,0.7506468296051025,1.4151540994644165,1.0330042839050293,4.594341278076172,7.262594223022461,5.708775520324707,0.007656636027094095,2.6687164306640625,
Pou2f2,0.22720931870026062,Smyd2,0.2045127108764352,Mbd4,0.27015246737237586,,Tet1,,Pou6f1,0.038474418222904205,0.02226145938038826,0.03172922879457474,0.1544080227613449,0.10737013071775436,0.13532249629497528,,0.08109703660011292,0.0057386632240586715
Klf6,0.22684272851271467,Crtam,0.20264928525114753,Dnmt3a,0.2697672203241776,,Itgax,,Dnmt3b,0.025115806609392166,0.04171289503574371,0.031100433319807053,0.010723292827606201,0.03737543150782585,0.022623691707849503,,0.0018650395795702934,
Trbc1,0.22439229017417886,Snrpd1,0.19985979524445593,Itgax,0.2692905891810415,,Ssbp2,,Tgif2,0.05325579270720482,0.07822448015213013,0.06453872472047806,0.13444103300571442,0.15006445348262787,0.1418246626853943,,0.09576890617609024,
Cenpk,0.22369593877364313,Il18r1,0.19831728134310936,Batf,0.26684294604719166,,Cd200,,Rbl1,0.4788154661655426,0.5395861268043518,0.5079249143600464,0.7978873252868652,0.9356696605682373,0.8582167625427246,,0.20193099975585938,
Ccr7,0.22238638044141795,Itgb1,0.19527358140850445,Btg1,0.26678629356216677,,Hat1,,Sp4,0.4088817834854126,0.4093335270881653,0.4120171070098877,0.6341501474380493,0.7667950987815857,0.6880835890769958,,0.004016000311821699,
Entpd1,0.22089234748907852,Eed,0.19189118973732805,Tet1,0.2663891506311615,,Hist1h2bp,,Fcgr2b,0.05099865421652794,0.010541480034589767,0.034121111035346985,0.03104313276708126,0.014891582541167736,0.023909030482172966,0.02382764975011874,0.0034864472690969706,0.03072765648453576
Itga2,0.22074235989441954,Ncr1,0.1898649914472122,Klf3,0.265845155643397,,Cd22,,Tcf7,0.2298046350479126,0.6406418085098267,0.4086158275604248,0.08948460966348648,0.27758631110191345,0.16941332817077637,0.1979158116009022,0.02807757444679737,0.2313190392510948
Phf20l1,0.2204063049078983,Foxp1,0.18808856365388887,Cx3cr1,0.26546279883618634,,Prdm5,,Stat4,0.7333500981330872,0.8416945338249207,0.7754033207893372,4.777954578399658,6.29448127746582,5.398346424102783,,0.014307747595012188,
Klrc1,0.21955600627057778,Il18rap,0.18626532966481915,Nr3c1,0.26521210651108407,,Nr3c1,,Klrc1,1.871660590171814,2.245466470718384,2.0303854942321777,1.146575927734375,1.116769790649414,1.1420202255249023,0.05128671585274965,0.2927955687046051,0.08579164829511364
Cd28,0.21954768489988466,Tox,0.1843487558160321,Cd200,0.2640118023388068,,Ms4a1,,Klf6,5.1355791091918945,4.036945343017578,4.676585674285889,0.32579025626182556,0.1512112319469452,0.2481679469347,,-0.01996918022632599,-0.022883246509636742
Btg1,0.21773910046185044,Tnf,0.177551329724702,S1pr1,0.2625891752142232,,Hopx,,Vax2,0.02076702006161213,0.1598053127527237,0.07982271909713745,0.011224005371332169,0.08052748441696167,0.04085541516542435,,-0.013303684070706367,-0.011134674941195773
Zeb2,0.21706027257041557,Nt5e,0.17598190949049514,E2f6,0.2621991019707373,,Cd28,,Tet1,0.006859045475721359,0.0032368446700274944,0.00471388129517436,0.007169595919549465,0.0024167869705706835,0.0052163139916956425,,0.0010761561570689082,
Ccr2,0.21630883010067714,H2-Eb1,0.1738773455691056,Trbc1,0.2614515448759476,,Arid5b,,Itgax,0.6106815934181213,0.4139799177646637,0.5267577171325684,0.09893383085727692,0.07443264126777649,0.08767993748188019,,0.017365558072924614,
Eed,0.21497759285665802,Fcgr2b,0.16934270187370448,Setbp1,0.26101728417502584,,Deaf1,,Ssbp2,0.014820423908531666,0.015814945101737976,0.014825522899627686,0.12042992562055588,0.15097196400165558,0.13432122766971588,,0.06448302417993546,
Dek,0.21458713928347334,Tox2,0.16887075947952898,Sp100,0.2604267040228433,,,,Cd200,0.011553472839295864,0.06539465487003326,0.035806987434625626,0.004809091798961163,0.012348644435405731,0.007689796853810549,,0.003792091505602002,0.020187514133321684
Rora,0.21420058751653895,Tnfsf8,0.1673466054788802,Cd28,0.25998223017202143,,,,Hist1h2bp,0.04652899131178856,0.04306967183947563,0.043804679065942764,0.025302883237600327,0.02760331518948078,0.02633361704647541,,0.00359745672903955,
Satb1,0.21403245792559997,Cxcr5,0.16392296179044272,Itgb3,0.2591377691419392,,,,Havcr2,0.6194397211074829,0.642704427242279,0.6323923468589783,2.5690367221832275,1.7167247533798218,2.197517156600952,0.06027202104948587,0.3018243610858917,0.05616412739890063
Sp100,0.21188824014123722,Aff3,0.14835457179120054,Rel,0.25890154897905343,,,,Chaf1a,0.3365430533885956,0.30888795852661133,0.32864516973495483,0.16087663173675537,0.1585049033164978,0.16098074615001678,0.025179439527278302,0.003186123678460717,0.024482848259457013
E2f2,0.21088770495874534,Arntl,0.14549162433608664,Pou6f1,0.2567137410230745,,,,Nr3c1,0.46335455775260925,0.5113222599029541,0.4811685383319855,0.8543193936347961,0.692025899887085,0.7819490432739258,,0.10104700922966003,
Crtam,0.20891553950187877,Il23r,0.1417114976877093,Il1rl1,0.25620777330867767,,,,Hopx,2.823415517807007,2.0965631008148193,2.523210287094116,0.18580158054828644,0.1694062501192093,0.1786545068025589,,-0.007594521157443523,
Ahr,0.2067012068070006,Cx3cr1,0.14030722262775613,Hopx,0.2560402257226333,,,,Arid5b,0.2814207077026367,0.372824102640152,0.319379597902298,1.989903450012207,2.3901195526123047,2.158031463623047,,0.4847135543823242,
Snrpd1,0.2060622851119622,Klra4,0.14002002629386845,Mbd2,0.25552424399605,,,,Tshz3,0.010030721314251423,0.0,0.005847131833434105,0.028357842937111855,0.004673807881772518,0.01889633946120739,,0.004673807881772518,0.0040099137735820035
Tnfrsf4,0.2044559713595531,Il7r,0.1357891552744974,Lair1,0.2545029060761296,,,,Phf20l1,1.0677480697631836,1.1183737516403198,1.0969704389572144,1.8999407291412354,1.6427642107009888,1.7882452011108398,0.004206983638777748,-0.11438074707984924,0.0037249102034103035
Bard1,0.20350431567751426,Cd83,0.09384116401328614,E2f8,0.2540719180253078,,,,Kmt2a,0.7773059606552124,0.8420113325119019,0.8065030574798584,0.5042675137519836,0.7399411797523499,0.6006016135215759,,0.08049134165048599,0.10450809406722468
Nt5e,0.20344021531991915,Sell,0.09025426196813716,Cd40lg,0.2528053013907655,,,,Il23r,0.0007621077238582075,0.003840705379843712,0.0021740358788520098,0.01530552189797163,0.04072790592908859,0.02665480598807335,0.000289224004594639,0.012965962290763855,0.00033977947640488984
