,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Trip13,0.027129395,0.07682965,0.0,0.044649422,0.044918396,0.59302795,0.60448295,0.6377948,0.65985566,0.6454686,0.6752993,0.56632715,0.55678177,0.6148028,0.4803611,0.48235112,0.47664642,0.35197645,0.38190284,0.30203307,0.14480312,0.14703472,0.14421028,0.09496978,0.06978729,0.09555136,0.02869773,0.028092137,0.06462486,0.03566665,0.035731416,0.022637237
Bst2,2.4536078,4.020707,3.4278347,3.9152248,3.928857,2.2597759,2.2850926,2.1893804,1.9809121,1.8523506,2.1189144,2.1090868,2.104943,2.1301293,2.063598,2.0474634,2.0937157,2.216776,2.1322632,2.357817,3.4284952,3.311755,3.459509,2.8792906,2.6924007,2.8836067,2.8966477,2.889999,3.4191,1.1734583,1.1722391,1.6299886
Prkcd,0.1885714,0.1553437,0.10806656,0.15727198,0.1562648,0.21348712,0.20987646,0.22171196,0.24634013,0.23950842,0.25367352,0.23097514,0.22721042,0.25009403,0.17877035,0.17815469,0.17991957,0.2368318,0.23307166,0.24310702,0.20588271,0.20700657,0.20558415,0.23907402,0.2853342,0.23800565,0.30142272,0.30134064,0.30132648,0.34646404,0.34665626,0.23611599
Kdm7a,1.0335468,0.96112376,0.796063,1.2185305,1.2206486,0.25912672,0.23989278,0.19112591,0.28639966,0.29424572,0.2779774,0.2803046,0.2896643,0.23277205,0.16953672,0.17062365,0.16750781,0.33153835,0.30701688,0.37246162,0.58139366,0.7219461,0.54405385,0.503839,0.95572466,0.49340284,1.0634704,1.0682411,0.73143154,1.3485156,1.3485817,1.3129354
Irf9,0.8122709,0.8485218,1.1089052,0.6885942,0.69093823,0.25201443,0.24640977,0.23654482,0.5692571,0.5030714,0.640303,0.36410215,0.3545477,0.4126238,0.3277337,0.29957438,0.38029775,0.4679547,0.43074247,0.5300572,0.694287,0.72221243,0.6868682,0.96405715,0.8223544,0.96732974,0.8222492,0.8230181,0.7904129,0.65854,0.65842676,0.8241309
Ruvbl2,0.12219747,0.08162953,0.068841144,0.10497254,0.10508089,0.3358614,0.34221086,0.3558041,0.22167586,0.2049597,0.23961955,0.24090515,0.23239887,0.28410372,0.19418606,0.19743258,0.18812591,0.2007208,0.21232283,0.18135849,0.1617411,0.14495797,0.16619976,0.108634666,0.09779159,0.10888509,0.091982186,0.092121206,0.0780227,0.080920346,0.08106668,0.0
Cd36,0.0,0.0,0.0,0.0,0.0,0.00012555129,0.00014402207,0.0,0.0,0.0,0.0,0.00016393357,0.00019621392,0.0,0.00028382224,0.00043586985,0.0,4.0782597e-05,6.521979e-05,0.0,5.683035e-05,0.00027074837,0.0,3.7790687e-05,0.0,3.866345e-05,0.0006302193,0.00058337866,0.003720283,0.0,0.0,0.0
Mycbp,0.096195854,0.12915146,0.19018313,0.10363922,0.103240326,0.4133389,0.4234479,0.41283336,0.26582167,0.26787037,0.2636225,0.31796643,0.31925556,0.31141964,0.35178536,0.35920987,0.33792627,0.3046397,0.32186726,0.27588907,0.20134635,0.21207719,0.19849557,0.19360669,0.16183959,0.19434035,0.16254964,0.16165286,0.2265421,0.16589165,0.16621357,0.056863293
Fcgr2b,0.0013607587,0.0047642128,0.0,0.017903097,0.017891519,0.028137311,0.028639592,0.019857261,0.047414,0.071890414,0.021140188,0.029780578,0.032707147,0.014918201,0.018688623,0.023486907,0.009731825,0.044247318,0.056517076,0.023770632,0.02784122,0.04759966,0.02259211,0.05624618,0.062875405,0.056093078,0.2507899,0.25280043,0.10513274,0.52772284,0.52810574,0.2893285
Rfc1,0.69550437,0.7754803,0.69752157,0.58994335,0.5895716,1.2453641,1.2613738,1.3102804,0.84193176,0.79954034,0.8874362,1.0348026,1.03969,1.0099818,1.428862,1.3913614,1.498863,0.73346156,0.7500905,0.70571005,0.71890444,0.76132804,0.70763403,0.58399165,0.5377316,0.58506,0.42174506,0.4208587,0.48948312,0.42709777,0.4264237,0.74890614
