All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,All_Ms,Arm_Mu,All_Mu,Arm_Velocity,All_Velocity
Tnfsf8,0.1495438517708989,Ikzf2,0.11889948099192671,,,Ctla4,,,Ifi204,0.044767916202545166,0.052410729229450226,0.009924502111971378,0.009963789954781532,-0.00027853332477636436,0.02436344172252885
Ikzf2,0.14360431940898052,Klra6,0.11505753265125897,,,Mcm6,,,Plaur,0.0035249495413154364,0.0033888814505189657,0.012381341308355331,0.012111331336200237,0.00013673979725411066,0.00011675049591906393
Setbp1,0.1270023742010753,E2f1,0.10494383696840404,,,Jaml,,,Irf4,0.21397560834884644,0.21053335070610046,0.5288549661636353,0.5300902724266052,0.04601346186482654,0.02679113617610624
Pcgf5,0.10526501443160453,Stat2,0.09886725983527246,,,Ikzf2,,,Satb1,2.3418900966644287,2.3335142135620117,5.995957851409912,5.981084823608398,0.02083165702719144,0.020320601263845585
E2f1,0.08424167077468249,Jaml,0.09005093855635628,,,Sub1,,,Kdm6b,1.1887873411178589,1.1792635917663574,0.9770585894584656,0.9683544039726257,0.14878202668130425,0.1301399046489786
Ifi204,0.08421429554003035,Daxx,0.06598665041860223,,,Tnfsf8,,,Cd83,0.000930506328586489,0.0009437872213311493,0.006022018846124411,0.006651103030890226,0.0007575558360384671,0.0003459349796565564
Jaml,0.07576534878061467,Ifi204,0.05380250771796876,,,Pml,,,Klra8,0.017554620280861855,0.016415394842624664,0.006130417808890343,0.005774294957518578,0.037752721762389425,0.028650717268761786
Mcm5,0.06645344898633843,Sirpa,0.045059819890228114,,,Rora,,,Cd5,1.6378461122512817,1.6372759342193604,1.6568875312805176,1.6631851196289062,-0.03825247614924895,-0.012125416495458133
Pml,0.05875613569790654,Mcm5,0.04343144076666543,,,Ly86,,,Ebf1,0.007906177081167698,0.007804907858371735,0.01231716014444828,0.01244121603667736,0.005142768196514481,0.008752833613893632
Eif2ak2,0.05448677456672515,Hells,0.04331061431747139,,,Slc3a2,,,Sell,0.051024939864873886,0.05029631033539772,0.008532335981726646,0.008292758837342262,-0.006333778570644828,-0.008289474200535003
Sirpa,0.04780667014139169,Eif2ak2,0.038965185862376336,,,Il7r,,,Itgb3,0.11671292036771774,0.11691967397928238,0.10953658074140549,0.11187219619750977,0.003693863710686453,0.015028350759398523
Uhrf1,0.04632552461731023,Klra8,0.03511253093275344,,,Lgals3,,,Il18r1,2.2811739444732666,2.2787628173828125,10.250544548034668,10.223820686340332,0.03212973320972707,0.029216883590875226
Ovol2,0.03839430218822423,Uhrf1,0.03207180610692953,,,Ovol2,,,Pou6f1,0.11709187924861908,0.1202743798494339,0.3332548439502716,0.3282471001148224,0.01972661064894866,0.02455833610987759
Treml2,0.033596537282958985,Mcm7,0.029475991272358042,,,Itgal,,,Csf3r,0.007049899082630873,0.0067777629010379314,0.0033808357547968626,0.00325033045373857,3.5503583566630313e-09,0.006559994882999816
Brip1,0.027951991638854014,Pml,0.029357162874245613,,,Uhrf1,,,Spn,0.7697592973709106,0.7702608704566956,0.273386687040329,0.2782615125179291,0.072799777302302,0.04843539119960507
Stat2,0.027544629460312744,Treml2,0.026145505782762958,,,Havcr2,,,Adam8,0.133792906999588,0.13819727301597595,0.04804494231939316,0.0487501285970211,,0.04802858705354445
Il1r2,0.018860143461960414,Il1r2,0.02612561521046212,,,Tbx21,,,Notch3,0.026417380198836327,0.025828247889876366,0.022321347147226334,0.02243177779018879,-0.003261577594512724,-0.0031298104577894732
Hells,0.017383045512887132,Ovol2,0.00899014666553906,,,Ggt1,,,Fcgr2b,0.366262823343277,0.3693481981754303,0.1522131711244583,0.1522304117679596,0.06050134143949164,0.03282653419816027
Daxx,0.01608751856584878,Mcm3,0.007267519320577124,,,Cx3cr1,,,Tcf7,0.9615808129310608,0.9581140279769897,0.1864108145236969,0.188811257481575,0.14912594793426037,0.19048085277401083
Setdb2,0.014460311989429332,Brip1,0.00688343891032272,,,Klra3,,,Ahr,0.004931475501507521,0.00537816621363163,0.0055349743925035,0.005153906997293234,0.0023466971808174465,
Cd300lf,0.007294072073936924,Cd300lf,0.0006182661890347848,,,Cd28,,,Jaml,0.6287873387336731,0.6360074877738953,0.09301498532295227,0.09230931103229523,-0.1334679312584199,-0.13508922263920972
Notch3,0.005016155733341665,Sell,0.000552564203375763,,,Cd44,,,Tnfrsf9,0.10312539339065552,0.1075548455119133,0.4006351828575134,0.418845534324646,,0.024087587419813677
Mcm3,0.001648147128236595,Notch3,0.0001765266317733089,,,Tnf,,,Ikzf2,0.054127588868141174,0.05590721219778061,0.22270216047763824,0.22992658615112305,0.023151071286445907,0.020971114818674672
Klra8,0.000871444100929487,C5ar1,1.5611552088495477e-53,,,Mcm7,,,Pml,0.2819657325744629,0.2847502827644348,0.29469385743141174,0.29603439569473267,-0.025737349165263414,-0.03285204248735229
Cxcr2,5.2277945882005345e-05,Cxcr2,2.022231630212305e-55,,,C5ar1,,,Ssbp2,0.03129984810948372,0.03236757963895798,0.28122663497924805,0.28174707293510437,,0.006827730674342297
Csf3r,3.300697647094116e-05,Csf3r,1.93900178017527e-71,,,Itga4,,,Slc3a2,1.4967570304870605,1.5036429166793823,1.3684817552566528,1.3682589530944824,0.007145154364132414,
Mcm7,8.974816011598078e-06,Plaur,2.0439253203337893e-83,,,Il18rap,,,Il7r,1.146970272064209,1.146062970161438,0.19205138087272644,0.19042514264583588,0.42811757253792987,0.40737679050653197
C5ar1,1.8172544040635187e-06,,,,,,,,Havcr2,0.2971775531768799,0.30057093501091003,0.8487554788589478,0.849889874458313,0.04720785020298018,0.04162173295132178
Sell,1.2049686620675139e-07,,,,,,,,Ggt1,0.1712227165699005,0.17625872790813446,0.013147469609975815,0.014009835198521614,0.062016203907956494,0.03880761700716141
Plaur,6.2143752276352e-14,,,,,,,,Cx3cr1,1.2196425199508667,1.2062517404556274,0.28694790601730347,0.2856026291847229,-0.015258785367887032,-0.01692694904547209
