ID,count
ENSMUSE00000699223,80
ENSMUSE00000907695,8
ENSMUSE00000699224,8
ENSMUSE00001235172,45
ENSMUSE00000888976,18
ENSMUSE00000699214,10
ENSMUSE00001321189,2
ENSMUSE00000860593,45
ENSMUSE00000465652,26
ENSMUSE00000854267,2
ENSMUSE00000855684,42
ENSMUSE00000857816,5
ENSMUSE00001234877,15
ENSMUSE00000870846,0
ENSMUSE00000240571,24
ENSMUSE00000861866,23
ENSMUSE00001227307,2
ENSMUSE00001335169,0
ENSMUSE00000864280,1
ENSMUSE00000699111,74
ENSMUSE00001323405,1007
ENSMUSE00000487478,817
ENSMUSE00000268036,767
ENSMUSE00000707270,177
ENSMUSE00000866268,189
ENSMUSE00000766708,48
ENSMUSE00001273725,130
ENSMUSE00001225976,80
ENSMUSE00001335876,33
ENSMUSE00001321625,31
ENSMUSE00000866909,116
ENSMUSE00000872108,138
ENSMUSE00000736751,159
ENSMUSE00000337266,65
ENSMUSE00001335198,1
ENSMUSE00000474524,5
ENSMUSE00001326541,30
ENSMUSE00001323637,5
ENSMUSE00001326557,0
ENSMUSE00000912974,7507
ENSMUSE00000698898,7405
ENSMUSE00000822702,198
ENSMUSE00000796386,149
ENSMUSE00000878511,701
ENSMUSE00001287286,8397
ENSMUSE00000839426,1237
ENSMUSE00001327125,579
ENSMUSE00001224810,4558
ENSMUSE00001331625,2
ENSMUSE00000155083,1082
ENSMUSE00000155089,1060
ENSMUSE00001345716,77
ENSMUSE00000155091,936
ENSMUSE00000698824,101
ENSMUSE00001288260,17
ENSMUSE00001328643,23
ENSMUSE00001324162,1
ENSMUSE00000664581,0
ENSMUSE00001197431,6
ENSMUSE00001319109,6
ENSMUSE00001330654,18
ENSMUSE00001334480,3
ENSMUSE00000869373,64
ENSMUSE00001004929,64
ENSMUSE00000849509,1
ENSMUSE00000853769,27
ENSMUSE00001327106,7
ENSMUSE00000698652,5
ENSMUSE00000629864,49
ENSMUSE00000413442,11
ENSMUSE00001321442,3
ENSMUSE00001325518,4
ENSMUSE00001327826,4
ENSMUSE00000545797,11
ENSMUSE00001326675,13
ENSMUSE00001333200,13
ENSMUSE00001330441,6
ENSMUSE00000847786,0
ENSMUSE00001021386,8
ENSMUSE00001330101,20
ENSMUSE00001329107,886
ENSMUSE00001333337,3498
ENSMUSE00001328232,1345
ENSMUSE00000154968,593
ENSMUSE00000154976,4207
ENSMUSE00001321346,1270
ENSMUSE00000664310,37
ENSMUSE00001324310,1737
ENSMUSE00000664323,52
ENSMUSE00000154967,1205
ENSMUSE00000154966,1199
ENSMUSE00001324197,709
ENSMUSE00000292361,986
ENSMUSE00000848022,40
ENSMUSE00000292351,893
ENSMUSE00000847603,22
ENSMUSE00001043723,369
ENSMUSE00001340514,11
ENSMUSE00001324222,5
ENSMUSE00001331345,9
ENSMUSE00000487837,1297
ENSMUSE00001341900,96
ENSMUSE00001191060,152
ENSMUSE00001320725,25
ENSMUSE00000833844,162
ENSMUSE00000736279,96
ENSMUSE00000774171,31
ENSMUSE00001318994,9
ENSMUSE00000769092,147
ENSMUSE00001144232,130
ENSMUSE00001205382,132
ENSMUSE00000718103,12
ENSMUSE00001330472,6
ENSMUSE00001222568,21
ENSMUSE00000895981,1060
ENSMUSE00000861518,35
ENSMUSE00000354206,122
ENSMUSE00001335769,21
ENSMUSE00001327757,365
ENSMUSE00000864807,420
ENSMUSE00001325939,30
ENSMUSE00000854423,96
ENSMUSE00001327146,17
ENSMUSE00001329517,268
ENSMUSE00001334337,382
ENSMUSE00001345292,8
ENSMUSE00000601545,372
ENSMUSE00000629858,372
ENSMUSE00001331257,186
ENSMUSE00000629857,202
ENSMUSE00001333548,134
ENSMUSE00000629855,196
ENSMUSE00000712381,0
ENSMUSE00000717504,2
ENSMUSE00000712753,754
ENSMUSE00000807786,484
ENSMUSE00000752356,760
ENSMUSE00000154893,497
ENSMUSE00000752711,60
ENSMUSE00001344202,10
ENSMUSE00000712269,6
ENSMUSE00000715628,0
ENSMUSE00001339411,0
ENSMUSE00000766445,59
ENSMUSE00000710637,28
ENSMUSE00000500893,36
ENSMUSE00000154887,28
ENSMUSE00000662725,457
ENSMUSE00001345958,32
ENSMUSE00000717218,1
ENSMUSE00001329633,7
ENSMUSE00000820451,12
ENSMUSE00000740558,14
ENSMUSE00000848056,0
ENSMUSE00001333486,1
ENSMUSE00001340394,0
ENSMUSE00001327740,0
ENSMUSE00001323270,197
ENSMUSE00001323962,483
ENSMUSE00000745969,67
ENSMUSE00001334193,239
ENSMUSE00001333343,483
ENSMUSE00001343684,0
ENSMUSE00001345020,3
ENSMUSE00001342216,0
ENSMUSE00001341508,2
ENSMUSE00001342413,0
ENSMUSE00000720352,11
ENSMUSE00001235500,43
ENSMUSE00001264676,26
ENSMUSE00001301355,43
ENSMUSE00001336429,0
ENSMUSE00001350594,1
ENSMUSE00000847463,0
ENSMUSE00000717964,2
ENSMUSE00000720062,0
ENSMUSE00001330779,14
ENSMUSE00001318414,24
ENSMUSE00000794993,297
ENSMUSE00000813401,295
ENSMUSE00001319816,163
ENSMUSE00000664844,0
ENSMUSE00000756046,967
ENSMUSE00000828702,801
ENSMUSE00001273257,872
ENSMUSE00000818543,531
ENSMUSE00001283473,865
ENSMUSE00000743674,461
ENSMUSE00000154519,669
ENSMUSE00001315708,155
ENSMUSE00000521836,43
ENSMUSE00001352331,31
ENSMUSE00000521826,92
ENSMUSE00001005876,0
ENSMUSE00000783209,5
ENSMUSE00001323527,6
ENSMUSE00000698242,23
ENSMUSE00000698244,12
ENSMUSE00000154511,13
ENSMUSE00000698153,61
ENSMUSE00000818221,67
ENSMUSE00001223953,61
ENSMUSE00001249209,67
ENSMUSE00001228588,42
ENSMUSE00001302638,37
ENSMUSE00001330224,0
ENSMUSE00001293018,3
ENSMUSE00001320049,1
ENSMUSE00001319236,2
ENSMUSE00001430868,2
ENSMUSE00000709118,1
ENSMUSE00000835819,593
ENSMUSE00000545269,262
ENSMUSE00001286717,556
ENSMUSE00001276943,223
ENSMUSE00000736175,46
ENSMUSE00000724490,31
ENSMUSE00000711439,16
ENSMUSE00000865130,1
ENSMUSE00001187900,4
ENSMUSE00000787456,8
ENSMUSE00000711414,1
ENSMUSE00000946135,0
