wilcoxon,t-test,t-test_overestim_var
C1d,Hsp90aa1,Sh2d1a
Ccdc34,Lxn,Mdh1
Sec11a,Etfa,Eif2s1
Elof1,Ppp1r35,Spcs1
Rfc5,Timm23,Il2rb
Trappc4,Mrpl28,Fen1
Ywhaz,Emp3,Fh1
Spcs1,Atp5c1,Tceal9
Mrpl42,Prelid3b,Cenpm
Nudt4,Srsf9,Tmco1
Tmem258,Snrpb,Trappc1
Haus4,Nrm,Cyc1
Hcls1,Cdk1,Dhfr
Pcbd2,Psmb9,D8Ertd738e
Itpa,Tuba1a,Ndufa13
Eif2s1,Ccl4,Got2
Sae1,Elof1,Tkt
Cbx5,Taldo1,Tmem97
Klrc2,Snrpa1,Mrpl57
Sh2d1a,Hexb,Cdca7
Fen1,Ndufs8,Sumo2
Mindy3,Pik3ap1,Polr2f
Pdcd5,Higd1a,Mrpl28
Tmco1,Anxa5,Psat1
Nasp,Chchd2,Nubp1
Mtpn,Itpa,Cenpk
Magohb,Nrgn,Ska1
Ncbp2,Gins2,Nasp
Ckap2,Emc8,Unc119
Itm2b,Polr2j,Pdcd10
Cyc1,Metap2,Ube2i
Nubp1,Mcm10,Bub1b
Il2rb,C1d,Psmc2
Sarnp,Tmco1,Tmem258
Snrpa,Got2,Pfkp
Nrm,Mrpl42,Sarnp
1110008P14Rik,Trappc4,Uba1
Rpn2,Ssrp1,Txndc17
Mrpl28,Itgb2,Pmm1
Hexb,Mtpn,Strap
Cox7b,Dazap1,Pkm
Set,Tomm22,Hspa5
Lrmp,Trbv13-3,Anxa5
Pfkp,Akr1a1,Lrrfip1
Polr2f,Ncbp2,Psmb8
Psma6,Ctla2a,Rpn2
Fh1,Alad,Stx11
Cs,Mrps24,Ap1s1
Hikeshi,Nudt21,Cenps
Pdcd10,Pfdn1,Chaf1a
Pfdn4,Ctla4,Fhl2
Bola3,Raph1,Icos
Ppp1r35,Vasp,Psmc4
Anxa7,Ehd4,Psma6
Ap1s1,Snrpd2,Fignl1
Mrpl57,Hmbs,Itpa
Uqcrc1,Cd160,Trdc
Emc8,Tstd3,Plk1
Ccdc12,Trip13,Emc8
Uba1,Atp5md,Srsf3
Unc119,Anapc5,Phf5a
Psmc2,Hopx,Ppp1r35
Sytl3,Nqo2,Cenph
Actr2,Dscc1,Snrpa
Pmm1,Magohb,Eif6
Knl1,Icos,Serp1
Rfc2,Ssb,1700017B05Rik
Lag3,Tfdp1,Bola3
Nfyb,Hcls1,Rfc2
Strap,Psma3,Tecr
Atp5d,Nasp,Sec11a
Hras,Fam129a,Ncapd2
Ubl4a,Uqcr10,Stard10
Txndc17,Nubp1,Ncbp2
Eif6,Lamc1,Ufc1
Bspry,Chek1,Uqcrc1
Casp1,Sdcbp2,Dera
Psat1,Cyc1,Ctla4
Cd52,Mt2,Mt3
Cyb561d2,Capns1,Ccdc12
Cd160,Ndufs6,Ywhaz
Ufc1,Prkar1a,Hip1
Serp1,Ndufv2,Ncapg2
1700017B05Rik,Cdc42se1,Hexb
Lrrfip1,Bzw1,Ndufa12
Zdhhc2,Aspm,Magohb
Mapre2,Pacsin2,Ccne1
Anapc11,Dera,Pqlc3
Psmc4,Diaph3,Rer1
Mrps16,Gnas,Mrpl13
Atp6v0e,Uba1,Cdc6
Vdac3,Eif2s1,Ndufb1-ps
Uchl3,Pdcd5,Uchl3
Nucb1,Mrps14,Rbbp7
Arl1,Sh2d1a,Atp5l
Dapk2,Tkt,Nrm
Dok2,Psmc2,Actr2
Cnih1,Polr2f,Kif20a
Hspd1,Kif4,Twf2
Cenpm,Nsd2,Anxa1
Rnaseh2c,Cyb561d2,Atp5h
Rbbp7,Cip2a,Hnrnpk
Mrpl13,Rfc2,Cs
E2f2,Swap70,Clspn
Sh3bgrl,Cacna1s,Bub1
Azin1,Mdh1,Hras
Phf5a,Pkm,Rnaseh2c
Csrp1,Snrpa,Mrps16
Erg28,Pfkp,Mapre1
Snrnp25,Tbx21,Pfdn4
Bnip2,Nup37,Itgax
Hmbs,Erg28,Rnf7
Gsr,Sh3bgrl,Anxa7
Psma2,Atad5,Il2ra
Cyb5r4,Insl6,Ssu72
Twf2,Mrpl13,Pdcd1
Trdc,Strap,Pcbd2
Rad51,Rpn2,Erg28
Dhfr,Taf10,Mindy3
Tfdp1,Psmc4,E2f2
Ncapd2,Mns1,Arl1
Hsph1,Spcs1,Tfdp1
Psmd1,Klrc2,Lsm3
Ssu72,Mrpl57,Itm2b
Ndufb1-ps,Nrp1,Rab5if
Ndufa12,Rac1,Vdac3
Mydgf,Bola3,Eif1b
Lsm3,Ak3,1110008P14Rik
Snx10,Tcf19,Ccl5
Rer1,Hras,Hikeshi
Tecr,Pfdn4,Cyb561d2
Uqcrfs1,Ubl5,Nedd8
Lsm12,Dkkl1,Commd3
Bcl7c,Uchl3,Hmbs
Ift20,Hspa5,Sytl3
Pik3ap1,Anxa7,Ccr2
Cpsf2,Cs,Klrg1
Rab5if,Mindy3,Ccl4
Ormdl2,AA467197,Anapc11
Cbfb,Snrnp25,Dnajb6
Mrpl40,Serp1,Lrmp
Mapre1,Ormdl2,Nfyb
Ptpa,Pcbd2,Cox7b
Cdca7,Nudt5,Cd52
Ak3,Il2rb,Ncapg
Med10,Sarnp,Cacybp
Dpysl2,Cx3cr1,Lsm12
Mrps12,Uqcrc1,Atp6v0e
Rnf7,Itgam,Pik3ap1
Cdc34,Srsf3,Mrps12
Esyt1,Ccl5,Apobec3
Derl2,Txndc17,Tmed5
Commd3,Sytl3,Hspd1
Gatad1,Myl4,Cd160
Ehd1,Tmem258,Cit
Cacybp,Nfyb,Bcap31
H2-Q10,Plscr1,Snrnp25
Ccr2,Alcam,Rwdd1
Apobec3,Melk,Cdc45
Cct8,Sumo2,Azin1
P4hb,Prim1,Uqcrfs1
Eif1b,Rbbp7,Nudt5
Bcap31,Snx10,Esyt1
Txnrd1,Tecr,Dok2
Psmc3,D8Ertd738e,Ehd4
Nudt5,Arl1,Psmc3
Top2a,Ugp2,Mydgf
Rpa1,Gnpda1,Ndufv3
Prim1,Ufc1,Csrp1
Dnajb6,Mybl2,Gsr
Mpp6,Hikeshi,Sh3bgrl
Nsd2,Eif6,Hsph1
Cotl1,Pdcd10,Ubl4a
Zcchc17,Ube2i,Esm1
Cyb5b,Gsr,Ndufa1
Rwdd1,Shcbp1,Ppp4c
Cnn2,1110008P14Rik,Nsd2
Atp5e,Phf5a,Cdk1
Mrpl41,Dok2,Ormdl2
Rars,Cnih1,Rgs16
Rab1a,Ndufa13,Ndufab1
Gadd45b,Twf2,Cct8
2610318N02Rik,Azin1,Cnih1
Cenpk,Lrrfip1,Rpa1
Stx11,Poc1a,Set
Mlec,Selenom,Depdc1a
Larp7,Lsm3,Alad
Ndufab1,Cyp51,Sdhd
Fmnl1,Rnf7,Psma2
Luc7l3,Csrp1,Ddx39b
Smap1,Nmral1,Bnip2
Vdac1,Pdzd11,Car5b
Rbmxl1,Mapre2,Ak3
Ehd4,Psma6,Vdac1
Clspn,Lrmp,Mapre2
Pgrmc1,Commd3,Ube2m
Actl6a,Incenp,Rars
Insl6,Ndufa12,Mrpl40
Tmed5,Vdac3,Klrc2
Ncapg2,Rpa1,Luc7l3
Sdhd,Hsph1,Casp4
Mgat2,Eif1b,Nhp2
Ak6,Cpsf2,Atp5d
Runx2,Psmb8,Gins2
Nhp2,Sec11a,Tsn
Zyx,Rnaseh2c,Tstd3
Tcp1,H2-Q10,Insl6
Ube2a,Stk39,Tmbim6
Kdelr2,Nde1,Cotl1
Ppp4c,Mpp6,Med10
Cdkn2aipnl,Paqr4,Zeb2
Ccne1,Gcat,Tcp1
Tradd,Emp1,Cyb5r4
Timm8b,Ak6,Mrps23
Tmem97,Ctnnbip1,Cdc34
Nabp2,Rer1,Snx10
Mrpl4,Mrps12,Cbfb
Pts,Gsap,Ssr3
Prpf38a,Anapc11,Cpsf2
Ube2m,Rars,P4hb
Kcnab2,Amdhd2,Timm8b
Ripk3,Ccdc12,Ube2a
Pqlc3,Ssu72,Dpysl2
Elovl1,Tmem154,Psmd1
mt-Co2,Nuf2,Prim1
Ddx39b,Ubl4a,Cnn2
Gnpda1,Gpd2,Zyx
B3gat3,Lat2,Diaph3
Stip1,Bnip2,Smap1
Nmt1,Mapre1,Zcchc17
Spcs3,Ndufb1-ps,Sra1
A430005L14Rik,Kif2c,Ppp1cc
Pdcl3,Mdfic,Ift20
Nab1,Slc43a3,H2-Q10
Usp1,Cyb5r4,Mrpl4
Ckap5,Rab5if,Mns1
