wilcoxon,t-test,t-test_overestim_var
Rnf145,Dcaf8,Cbx7
Irf9,Cbx7,Klf6
Fth1,Phf11c,Gramd1b
Irf2,Tbcel,Trbv13-3
Ccndbp1,Nfat5,Atxn1
BC031181,Klhl24,Il18r1
Ifi214,Gramd1b,Gabarap
Cd72,Slc9a9,Arpc3
Micos13,Scand1,Art2b
March2,Cd7,Nfkbie
Irf7,Gldc,Relb
Syne1,Cnn2,Tbcel
Ppp1r12a,Nfkbie,Oas1a
Fos,Coq8a,Dcaf8
Ddx17,Arhgap15,Nfat5
Cd7,Izumo4,P2rx7
Ripor2,Rnf138,Zer1
Cr1l,Art2b,Fam118a
Ankrd39,Ubl5,Klhl24
Lpcat4,Ccndbp1,Izumo4
Myb,Fos,Clint1
Vps13d,Retreg1,Rpl8
Trak2,Isg15,Stk17b
Rnf113a2,Ppm1h,Rapgef2
Tbc1d10a,Rapgef2,Sigirr
Gatd3a,Arid4b,Ppm1h
Gnpda2,Eif1,Scand1
B230307C23Rik,Zfp296,Heg1
Manbal,Hsd17b10,Arid4b
Ercc6l2,Apol7e,Retreg1
Plagl2,Trbv13-3,Hsd17b10
Ddb2,Cox6c,Ccndbp1
Dmtf1,Rpl6,Rac2
Ccdc97,Fam118a,Parp3
Prmt9,Oas1a,Rnf138
B4galt7,Herc3,Ar
Armt1,Mbp,Arhgap26-1
2700062C07Rik,F2rl1,Zfp386
Armc8,Rbm39,Herc3
,Relb,Eif1
,Ythdf3,Ubl5
,Itpkb,Zfp280d
,Cmc1,Ccdc28b
,Avl9,St6galnac3
,B4galnt1,Sik1
,Pde7a,Atad2b
,Zfp280d,Ythdf3
,Ar,Avl9
,Sigirr,Arhgap15
,Zer1,Araf
,Araf,Aicda
,Clcn3,Cnn2
,Zfp386,Cmc1
,Arhgap26-1,Meis3
,Susd6,Senp7
,Acpp,Mbp
,Sik1,Fos
,Kmt5b,Agpat5
,Atad2b,
,Parp3,
,Tmem134,
,Ikbkb,
,Tnfrsf18,
,Maf1,
,Agpat5,
,Heg1,
,Dgka,
,Rasal3,
,Ccdc28b,
,Senp7,
,Arhgdib,
,Usp3,
,Klhl6,
,Zfp318,
,Fam53b,
,P2rx7,
,Klf4,
,Eif3m,
,Sat1,
,March2,
,Meis3,
,Pold4,
,Dtx3,
,Trbc1,
,Hscb,
,Ssbp2,
,Crtc3,
,St6galnac3,
,Baz2b,
,Tmem106b,
,Bod1l,
,Rnf166,
,Smad4,
,Cyth1,
,Asb13,
,Lcp2,
,Gpsm3,
,Ldlrad4,
,Cxcr3,
,Prkacb,
,Rpl28,
,Mylip,
,Aicda,
,Csnk1g3,
,Mppe1,
,Nisch,
,Zfp810,
,Chmp1b,
,Jmy,
,Smg9,
,Thap3,
,Rpl3,
,Ppm1k,
,Samd3,
,Abca3,
,Zfp260,
,Synj2,
,Vps13c,
,Szt2,
,Traf3ip3,
,Izumo1r,
,Sri,
,Skp1a,
,Capn3,
,N4bp2l1,
,Prkd2,
,Zfp945,
,Hipk1,
,Sh2b3,
,Rlf,
,Ankrd13c,
,Bcl2a1b,
,Tnip1,
,Bach2,
,Slc50a1,
,Pik3ip1,
,Wipf1,
,Ing4,
,Reep3,
,Chd6,
,Ift80,
,Slc38a2,
,Mrps6,
,Ndufa6,
,Atxn2,
,Tox2,
,Aqp3,
,Rsad2,
,Ddt,
,Rpl23a,
,Ezh1,
,Herc4,
,Tmem167b,
,Ncoa7,
