gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Igkv2-137,0.0,0.0,0.0,0.0
Trav15-3,0.0,0.0,0.0,0.0
Pcdhb7,0.0,0.0,0.51551240994319,0.3375490981623533
Trav3-4,1.56446873999431,1.861946070964125,3.62719204872694,2.5327153281603763
Ear2,3.235067874596095,5.307046867443034,7.510861523722834,1.1564705549097731
Ckap2l,1536.9894226801302,1377.91741028765,1366.6210726601648,1550.69732052432
Nlrp5,9.851584182399755,4.406764189136339,8.67618389158709,5.497361254034317
Trav12-4,0.51129714827192,0.49582107221212857,0.0,0.3882447463768233
Tacstd2,0.540127762606085,0.91309317044532,1.03173899927673,0.38356973210326334
Gm9850,0.0,0.9645130045318575,0.0,0.0
Pcdhb13,12.203533309885024,6.79246110190582,11.037677318476703,8.469427076211844
Ikbkb,2971.9152173006605,2804.43003888113,2939.08836879954,2923.964078754437
Gm6785,0.50758703913865,0.0,0.0,0.0
Txnip,6656.09905570212,6275.96209372946,5913.049900475005,6376.157251939931
Slc45a3,9.539508866090628,5.51964576354735,9.584856447333749,7.174459777162917
Pcdhga9,2.23744116710406,0.469075997899576,0.839667556578076,2.034399540260307
Gm3778,0.50758703913865,0.0,0.0,0.0
Phyh,220.707837599328,250.851698563038,229.685518746581,259.0007444343177
Amigo3,95.14074690048204,94.96937758877911,98.61482192469765,107.81499797240896
Gm43116,0.0,0.0,0.0,0.0
Mup15,0.0,0.0,0.0,0.0
Sgms2,21.444860684716147,24.89298498941185,38.75435762048125,32.20007270908807
Gm12390,2.658114117817155,0.0,0.51485928654411,1.4636335406214531
Gm34440,0.0,0.0,0.0,0.0
Vtn,0.0,0.36358625137328954,1.08958398543369,0.0
Gm20662,3.0476261955284634,0.0,4.14248176530757,1.7450430086373434
Capn8,0.0,0.0,0.0,0.0
Gm48781,0.0,0.0,0.0,0.0
Gm48782,0.0,0.0,0.0,0.0
Arhgef25,31.4119244352597,57.95581160077779,34.0725563177586,40.35131985335146
Mup16,0.0,0.0,0.0,0.0
Mapk8ip1,6.21156468144374,13.572551244094349,13.208955400693451,11.614303803981732
C330007P06Rik,866.871088634942,972.3756885952265,942.562910670697,948.9275134672107
Cops3,946.9090936639409,1010.699723628755,967.11088130988,1033.4111199918443
Gm16061,1.04921734366982,2.4249895932070147,0.3912035349907335,4.678653489781033
