gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Slc25a23,7.257279499999999,8.193143,8.190886,7.1220766666666675
Slc25a24,26.002164999999998,18.620389000000003,24.984537500000002,28.78138433333333
Slc25a25,22.692484,22.3659965,19.5229065,22.54655766666666
Slc25a26,5.062793,5.453474,6.002368,5.270494333333334
Slc25a27,2.060864,1.852376,1.9171415,1.6524493333333334
Slc25a28,16.9598765,15.8201885,17.073323000000002,18.260412
Slc25a29,2.0952935,2.4670705,2.9296695,2.3447996666666664
Slc25a3,200.46815050000004,198.973144,203.396449,210.04314266666665
Slc25a30,40.190358,42.0700665,41.749736999999996,39.660159
Slc25a31,0.0,0.0,0.0,0.0
