wilcoxon,t-test,t-test_overestim_var
Ipo5,Ranbp2,Mrpl21
P2ry10,Tlcd2,Kpna1
Rpl39,Tank,Etv6
Isg15,Etv6,Glrx5
Atic,Ssu72,Ndufb9
Hspb11,Kpna1,Lta
Dapp1,Eif3l,Gm8369
Dtd1,Lef1,Cnpy2
Ssu72,Rpl39,Gzmm
Mtln,Capn3,Cdc20
Ints11,Eif4a1,Mapk11
Dynlt1f,Mrpl21,Epcam
Trps1,Glrx5,Ncoa7
Lsm4,Cnpy2,Elovl5
Spint2,Gm8369,Acot7
Wdr43,Spdl1,Zfp62
Serbp1,Elovl5,Tlcd2
Eif3a,Ncoa7,Prps1
Gpbp1,Zfp62,Fam81a
Ccnb2,Ndufb9,Khdrbs1
Aamp,Maff,1700019D03Rik
Mrpl17,Acot7,Chrac1
Sh3bp5,Prps1,Rdm1
Sun2,Immp2l,Ipo5
Sfpq,Tnfsf4,Slc25a36
Gtf2e2,Rdm1,Ola1
Larp4,Chid1,Ddx6
Eif3l,Ipo5,Chid1
mt-Atp8,Khdrbs1,Spdl1
Klhl6,Nebl,Rbbp4
Sec61b,Chrac1,Immp2l
Glrx5,Cables1,Etv3
Zbtb11,Slc25a36,Snrnp25
Ifrd1,Fcrl1,Fabp5
Akap9,Myb,Tma7
Sec61a1,Fabp5,Mafk
Rpf1,Ola1,Capn3
Tm2d2,Etv3,Smc1a
Utp23,Mafk,Nfkb1
Acadm,Ddx6,Myb
Prmt5,Snrnp25,Sod2
Tufm,Hmmr,Zfp622
Mrpl21,Rbbp4,Nebl
Eif2b5,Tma7,Sfpq
Gars,Nfkb1,Maff
Dus2,Zfp622,Polr1d
Trp53inp1,Smc1a,Abhd8
Pkp4,Sod2,Cables1
Tiprl,Nme4,Serbp1
Slc16a1,Abhd8,Mrpl11
Chd1,Ropn1l,Fcrl1
Dapl1,Hectd2,Brd8
Thada,Mrpl11,Hmmr
Snd1,Sfpq,Tmem173
Nipsnap1,Polr1d,Tnfsf4
Mphosph10,Serbp1,Eif3a
Ddx6,Hspb11,Rtraf
Dnaja2,Brd8,Hspb11
Dera,Elovl6,Canx
Fnta,Tmem173,Trbc1
Cct8,Trbc1,Slc4a7
Myl12b,Canx,Gnas
Cab39l,Cdca3,Socs1
Zmynd8,Eif3a,Tmem230
Ndufaf4,Slc4a7,Ing2
Kif15,Socs1,Gars
Prdx6,Bmyc,Zc3h15
Cbr1,Usp11,Nsf
