comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
P1,2017_IMMUNITY_WOLSKI_curated_human---AM05,-2.2907083439782547,9.965969859017986e-4,1.1900511722004047e-4,58,3.0014804306389697,3.924434363543231
P1,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,-2.0103418195702587,9.965969859017986e-4,1.2153621779290228e-4,55,3.0014804306389697,3.9152942830226865
P1,2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,-1.7990697397576183,0.006478847803512574,9.481240688067181e-4,54,2.1885022220721164,3.023134828408208
P1,2017_IMMUNITY_WOLSKI_curated_human---all.down_late,-1.5689955708721295,0.11830205852165997,0.020197912430527314,55,0.927007698340627,1.6946935150461055
P1,2017_IMMUNITY_WOLSKI_curated_human---all.up_early,-1.5169813937074466,0.17054908485856904,0.033277870216306155,54,0.7681506066109665,1.4778444763387584
P1,2017_IMMUNITY_WOLSKI_curated_human---CM04,1.6452137238036555,0.21478685096991518,0.04783808647654094,53,0.6679923092201621,1.3202262004514953
P1,2017_IMMUNITY_WOLSKI_curated_human---CM01,-1.3541785317668118,0.21478685096991518,0.052387036821930535,32,0.6679923092201621,1.2807761659398975
P1,2017_IMMUNITY_WOLSKI_curated_human---AM13,1.5813963362360077,0.26440020035061357,0.0709366391184573,24,0.5777382200973922,1.1491293916589027
P1,2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,1.500506211028323,0.32981766178047905,0.09653199856989632,28,0.48172609154042934,1.01532870221254
P1,2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_early,-1.3452856766857215,0.3731684037720001,0.1256147253056063,48,0.4280951351516302,0.9009594470310077
P1,2017_IMMUNITY_WOLSKI_curated_human---resolver.up_early,1.4393163262466238,0.3731684037720001,0.1289350301406564,27,0.4280951351516302,0.8896290738805059
P1,2017_IMMUNITY_WOLSKI_curated_human---AM02,-1.2341364019463166,0.3731684037720001,0.13652502577024395,19,0.4280951351516302,0.8647877328156844
P1,2017_IMMUNITY_WOLSKI_curated_human---all.up_late,1.3740401441148755,0.40107229993804827,0.16594468510496502,14,0.3967773315348576,0.780036652665135
