gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Cnnm3,-0.5010597,1.0,-0.571591,-0.5010597,0.003977073505905401,-3.2261536,-0.5010597,0.12924577783491958,-2.023497,-0.031629022
Ankrd23,0.23437022,1.0,0.113406725,0.23437022,0.8184790463603595,0.3233642,0.23437022,0.9015099232329072,0.22854367,0.0036383723
Gm42417,-18.119162,1.0,-0.019963415,-18.119162,0.17415249264779828,-1.6621572,-18.119162,0.7807399816540233,-0.56413585,-5.0315262e-05
Ankrd39,0.036455225,0.3354581593896917,1.5252446,0.036455225,0.8170922377580924,0.32610795,0.036455225,0.9014842487874138,0.22920439,-0.02531528
Sema4c,0.050123945,1.0,0.029755231,0.050123945,0.9577186910581773,0.08645128,0.050123945,0.9782936105836468,0.06300117,0.004074173
Fam178b,,,,,,,,,,
Cox5b,0.83633137,6.604172015448993e-132,24.699154,0.83633137,1.513292164772924e-244,39.036785,0.83633137,1.2647219970743775e-72,19.835325,0.068402044
Actr1b,0.1133662,0.016955941631531444,2.8395357,0.1133662,0.33862468301530513,1.2116315,0.1133662,0.6637246453935272,0.8465498,-0.004916423
4933424G06Rik,1.6559358,1.0,0.08041508,1.6559358,0.38923630788162294,1.10497,1.6559358,0.5773535602704012,1.008217,0.0029508153
Zap70,0.28506994,2.9245204322674025e-06,5.043528,0.28506994,4.582103201480763e-08,5.8239193,0.28506994,0.0003685504449856375,4.0293,0.025934583
Tmem131,-0.41614944,1.0,-0.54055613,-0.41614944,0.000859747080241934,-3.6785176,-0.41614944,0.06820437441411514,-2.3311481,-0.03302903
Vwa3b,-3.4274778,1.0,-0.18870299,-3.4274778,2.4600915548983816e-05,-4.549315,-3.4274778,0.22561167075525992,-1.7188791,-0.0033335534
Cnga3,,,,,,,,,,
Inpp4a,0.009850145,0.2976482187855368,1.5940431,0.009850145,0.9578258083026685,0.08570495,0.009850145,0.9796540798543154,0.058886193,-0.0057808254
Coa5,0.41733244,3.978008012597637e-10,6.59639,0.41733244,3.9252070101376066e-07,5.4275913,0.41733244,0.0005209211288560039,3.9387412,0.028872386
Unc50,0.3123923,1.0336088545153838e-08,6.0713468,0.3123923,2.9404633054843316e-06,5.0256486,0.3123923,0.0025367613713021967,3.4973912,0.027325224
Mgat4a,-0.5597353,1.0,-0.50995874,-0.5597353,0.001602242283829195,-3.5001028,-0.5597353,0.09650709050912896,-2.1704204,0.0070487387
2010300C02Rik,0.80799544,0.30109024043502164,1.5870254,0.80799544,0.0026857118039452844,3.3504357,0.80799544,0.027137673972713126,2.7121406,-0.0013480007
